"","X","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1",1,2014-08-23,"Almeria","Espanol",1,1,"D"
"2",2,2014-08-23,"Granada","La Coruna",2,1,"H"
"3",3,2014-08-23,"Malaga","Ath Bilbao",1,0,"H"
"4",4,2014-08-23,"Sevilla","Valencia",1,1,"D"
"5",5,2014-08-24,"Barcelona","Elche",3,0,"H"
"6",6,2014-08-24,"Celta","Getafe",3,1,"H"
"7",7,2014-08-24,"Eibar","Sociedad",1,0,"H"
"8",8,2014-08-24,"Levante","Villarreal",0,2,"A"
"9",9,2014-08-25,"Real Madrid","Cordoba",2,0,"H"
"10",10,2014-08-25,"Vallecano","Ath Madrid",0,0,"D"
"11",11,2014-08-29,"Getafe","Almeria",1,0,"H"
"12",12,2014-08-29,"Valencia","Malaga",3,0,"H"
"13",13,2014-08-30,"Ath Bilbao","Levante",3,0,"H"
"14",14,2014-08-30,"Ath Madrid","Eibar",2,1,"H"
"15",15,2014-08-30,"Cordoba","Celta",1,1,"D"
"16",16,2014-08-30,"Espanol","Sevilla",1,2,"A"
"17",17,2014-08-31,"Elche","Granada",1,1,"D"
"18",18,2014-08-31,"La Coruna","Vallecano",2,2,"D"
"19",19,2014-08-31,"Sociedad","Real Madrid",4,2,"H"
"20",20,2014-08-31,"Villarreal","Barcelona",0,1,"A"
"21",21,2014-09-12,"Almeria","Cordoba",1,1,"D"
"22",22,2014-09-13,"Barcelona","Ath Bilbao",2,0,"H"
"23",23,2014-09-13,"Celta","Sociedad",2,2,"D"
"24",24,2014-09-13,"Malaga","Levante",0,0,"D"
"25",25,2014-09-13,"Real Madrid","Ath Madrid",1,2,"A"
"26",26,2014-09-14,"Granada","Villarreal",0,0,"D"
"27",27,2014-09-14,"Sevilla","Getafe",2,0,"H"
"28",28,2014-09-14,"Valencia","Espanol",3,1,"H"
"29",29,2014-09-14,"Vallecano","Elche",2,3,"A"
"30",30,2014-09-15,"Eibar","La Coruna",0,1,"A"
"31",31,2014-09-19,"Elche","Eibar",0,2,"A"
"32",32,2014-09-20,"Ath Bilbao","Granada",0,1,"A"
"33",33,2014-09-20,"Ath Madrid","Celta",2,2,"D"
"34",34,2014-09-20,"Espanol","Malaga",2,2,"D"
"35",35,2014-09-20,"La Coruna","Real Madrid",2,8,"A"
"36",36,2014-09-21,"Cordoba","Sevilla",1,3,"A"
"37",37,2014-09-21,"Levante","Barcelona",0,5,"A"
"38",38,2014-09-21,"Sociedad","Almeria",1,2,"A"
"39",39,2014-09-21,"Villarreal","Vallecano",4,2,"H"
"40",40,2014-09-22,"Getafe","Valencia",0,3,"A"
"41",41,2014-09-23,"Celta","La Coruna",2,1,"H"
"42",42,2014-09-23,"Real Madrid","Elche",5,1,"H"
"43",43,2014-09-24,"Almeria","Ath Madrid",0,1,"A"
"44",44,2014-09-24,"Eibar","Villarreal",1,1,"D"
"45",45,2014-09-24,"Granada","Levante",0,1,"A"
"46",46,2014-09-24,"Malaga","Barcelona",0,0,"D"
"47",47,2014-09-24,"Sevilla","Sociedad",1,0,"H"
"48",48,2014-09-24,"Vallecano","Ath Bilbao",2,1,"H"
"49",49,2014-09-25,"Espanol","Getafe",2,0,"H"
"50",50,2014-09-25,"Valencia","Cordoba",3,0,"H"
"51",51,2014-09-26,"Elche","Celta",0,1,"A"
"52",52,2014-09-27,"Ath Bilbao","Eibar",0,0,"D"
"53",53,2014-09-27,"Ath Madrid","Sevilla",4,0,"H"
"54",54,2014-09-27,"Barcelona","Granada",6,0,"H"
"55",55,2014-09-27,"Levante","Vallecano",0,2,"A"
"56",56,2014-09-27,"Villarreal","Real Madrid",0,2,"A"
"57",57,2014-09-28,"Cordoba","Espanol",0,0,"D"
"58",58,2014-09-28,"Getafe","Malaga",1,0,"H"
